"","CNTRY_NAME","mean_lights_weighted","mean_cvg_weighted"
"139","Macau",62.0570449829102,0
"140","Moldova",6.17834424972534,0
"141","Mayotte",0.627972304821014,0
"142","Mongolia",0.0193640645593405,0
"143","Montserrat",4.46346426010132,0
"144","Malawi",0.185535162687302,0
"145","Macedonia",1.37783563137054,0
"146","Mali",0.00729666836559772,0
"147","Monaco",56.6947402954102,0
"148","Morocco",0.586745500564575,0
"149","Mauritius",8.26308822631836,0
"150","Midway Islands",6.14955997467041,0
"151","Mauritania",0.00664443522691727,0
"152","Malta",44.3582077026367,0
"153","Oman",0.88223785161972,0
"154","Maldives",1.46189522743225,0
"155","Montenegro",0.90668123960495,0
"156","Mexico",1.42658078670502,0
"157","Malaysia",0.885735988616943,1.81741270353086e-05
"158","Mozambique",0.0249562598764896,0
"159","New Caledonia",0.338401645421982,0
"160","Niue",0.116308629512787,0
"161","Norfolk Island",3.19423246383667,0
"162","Niger",0.010708287358284,0
"163","Vanuatu",0.137228697538376,0
"164","Nigeria",1.34919714927673,0
"165","Netherlands",21.7718811035156,0
"166","Norway",3.08825778961182,0
"167","Nepal",0.16462454199791,0
"168","Nauru",10.7849359512329,0
"169","Suriname",0.0861982181668282,0
"170","Netherlands Antilles",14.3161458969116,0
"171","Nicaragua",0.251993060112,0
"172","New Zealand",0.662864327430725,0
"173","Paraguay",0.172013565897942,0
"174","Pitcairn Islands",0,0
"175","Peru",0.15687420964241,0
"176","Paracel Islands",0,0
"177","Spratly Islands",0,0
"178","Pakistan",1.81836330890656,0
"179","Poland",4.17877531051636,0
"180","Panama",0.580657839775085,0
"181","Portugal",5.14777565002441,0
"182","Papua New Guinea",0.0447545498609543,1.65828023455106e-05
"183","Pacific Islands (Palau)",0.264986664056778,0
"184","Guinea-Bissau",0.0375998169183731,0
"185","Qatar",11.2140302658081,0
"186","Reunion",7.56679630279541,0
"187","Marshall Islands",1.03679084777832,0
"188","Romania",1.21896803379059,0
"189","Philippines",0.629332840442657,0
"190","Puerto Rico",26.5098724365234,0
"191","Russia",0.970597386360168,1.21197945190943e-06
"192","Rwanda",0.207961574196815,0
"193","Saudi Arabia",1.09096670150757,0
"194","St. Pierre and Miquelon",0.232425108551979,0
"195","St. Kitts and Nevis",8.4015941619873,0
"196","Seychelles",6.18944501876831,0
"197","South Africa",1.02066922187805,0
"198","Senegal",0.0957414880394936,0
"199","St. Helena",1.16921353340149,0
"200","Slovenia",3.97564911842346,0
"201","Sierra Leone",0.0263978727161884,0
"202","San Marino",32.1988258361816,0
"203","Singapore",61.7757835388184,0
"204","Somalia",0.00155461952090263,0
"205","Spain",4.97104358673096,0
"206","Serbia",2.74281644821167,0
"207","St. Lucia",6.13132381439209,0
"208","Sudan",0.0394183658063412,0
"210","Sweden",4.07419538497925,0
"211","South Georgia and the South Sandwich Is",0.127661645412445,0
"212","Syria",2.79971528053284,0
"213","Switzerland",8.77799701690674,0
