"country","year","democracy","GDP","Status","fiw","lndn13","logGDP","GDP_growth","ntl_growth","GDP_growth_avg","ntl_growth_avg"
"United States",2013,1,1.44986e+13,"F",0,1.6630436,30.3050732089695,0.0185872487497569,0.0276608999999999,0.0253423760152177,0.0178966526315789
"Uruguay",2013,1,6.5124e+11,"F",0,0.21610111,27.2021440748097,0.0430275938939353,0.01500663,0.0313919811645256,0.0521285304761905
"USSR",2013,0,NA,"-",NA,NA,NA,NA,NA,NA,NA
"Uzbekistan",2013,0,2.72853e+12,"NF",6,0.51723266,28.6347841185645,0.0769597217452365,-0.02027934,0.0480498063223759,-0.00269133142857143
"Vanuatu",2013,1,6.0519e+10,"F",1,-0.76991069,24.8262232022667,0.0276087558438221,0.11735857,0.0296832337350332,0.0579140814285714
"Venezuela",2013,0,NA,"PF",4,NA,NA,NA,NA,NA,NA
"Vietnam",2013,0,2.5436e+15,"NF",5,1.3645155,35.4723567953218,0.0528007907386367,0.1137371,0.0663653954070638,0.105417141904762
"Vietnam N.",2013,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vietnam S.",2013,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yemen",2013,0,NA,"NF",5,NA,NA,NA,NA,NA,NA
"Yemen N.",2013,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yemen S.",2013,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yugoslavia",2013,0,NA,"-",NA,NA,NA,NA,NA,NA,NA
"Zambia",2013,1,5.257e+09,"PF",2.5,-1.6999959,22.3828263587837,0.0615880875124866,-0.0042008,0.0394571032405629,0.0357348285714286
"Zimbabwe",2013,0,10900835964,"NF",4.5,-1.2097999,23.1121053171856,0.0179207538212296,0.0355636000000001,-0.00418958587855453,0.0108266904761905
